time,high_c_1,high_c_2,high_c_3,high_c,high_d_1,high_d_2,high_d_3,high_d,low_c_1,low_c_2,low_c_3,low_c,low_d_1,low_d_2,low_d_3,low_d,c_c_1,c_c_2,c_c_3,c_c,c_d_1,c_d_2,c_d_3,c_d
5.25,0.14,0.1355,0.1449,0.140133333,0.1341,0.1342,0.1367,0.135,0.1417,0.1337,0.1548,0.1434,0.0976,0.1038,0.1027,0.101366667,0.1297,0.1432,0.129,0.133966667,0.0777,0.0753,0.0764,0.076466667
5.5,0.1468,0.1422,0.152,0.147,0.1412,0.1409,0.1435,0.141866667,0.1492,0.1402,0.1629,0.150766667,0.0999,0.1065,0.1052,0.103866667,0.1351,0.1504,0.1346,0.140033333,0.0778,0.0754,0.0763,0.0765
5.75,0.155,0.1497,0.1609,0.1552,0.1489,0.1482,0.1511,0.1494,0.1574,0.1476,0.1729,0.1593,0.1023,0.1099,0.1082,0.1068,0.142,0.1583,0.1409,0.147066667,0.0776,0.0754,0.0762,0.0764
6,0.1636,0.1583,0.1708,0.164233333,0.1584,0.1569,0.1601,0.158466667,0.1666,0.1561,0.1835,0.168733333,0.1054,0.1135,0.1118,0.110233333,0.1483,0.1678,0.1483,0.1548,0.0775,0.0754,0.0763,0.0764
6.25,0.1737,0.1673,0.1814,0.174133333,0.1673,0.166,0.1696,0.167633333,0.1769,0.1646,0.1951,0.178866667,0.1084,0.1174,0.1152,0.113666667,0.1562,0.1772,0.1563,0.163233333,0.0773,0.0754,0.0762,0.0763
6.5,0.1842,0.1777,0.1934,0.1851,0.1785,0.1763,0.1804,0.1784,0.1881,0.174,0.208,0.190033333,0.1123,0.1219,0.1191,0.117766667,0.1643,0.187,0.1654,0.172233333,0.0773,0.0754,0.0763,0.076333333
6.75,0.1962,0.1893,0.2066,0.197366667,0.1901,0.1872,0.1922,0.189833333,0.2003,0.1854,0.2221,0.2026,0.1163,0.1269,0.1236,0.122266667,0.1734,0.1994,0.1751,0.182633333,0.0774,0.0754,0.0762,0.076333333
7,0.2089,0.2018,0.2206,0.210433333,0.2028,0.1994,0.205,0.2024,0.2133,0.1969,0.2374,0.215866667,0.1205,0.1329,0.1287,0.127366667,0.1833,0.2121,0.186,0.1938,0.0775,0.0755,0.0762,0.0764
7.25,0.223,0.215,0.2357,0.224566667,0.2169,0.2131,0.2196,0.216533333,0.2276,0.2092,0.2543,0.230366667,0.1253,0.1389,0.134,0.132733333,0.1942,0.2247,0.1978,0.205566667,0.0772,0.0754,0.0761,0.076233333
7.5,0.2388,0.2299,0.2527,0.240466667,0.2329,0.2283,0.2349,0.232033333,0.2436,0.2232,0.272,0.246266667,0.1311,0.146,0.14,0.139033333,0.2063,0.2393,0.2107,0.218766667,0.0773,0.0753,0.076,0.0762
7.75,0.256,0.2465,0.2708,0.257766667,0.25,0.2451,0.252,0.249033333,0.2607,0.2391,0.2914,0.263733333,0.1371,0.1542,0.1469,0.146066667,0.2197,0.2561,0.2246,0.233466667,0.0776,0.0754,0.0761,0.076366667
8,0.2744,0.2635,0.2901,0.276,0.2674,0.2625,0.27,0.266633333,0.2789,0.2559,0.3114,0.282066667,0.1432,0.1624,0.1543,0.1533,0.2342,0.2729,0.2393,0.2488,0.0777,0.0754,0.0763,0.076466667
8.25,0.2939,0.2822,0.3112,0.295766667,0.287,0.2811,0.2891,0.285733333,0.2988,0.2738,0.3318,0.301466667,0.15,0.1722,0.1624,0.161533333,0.2502,0.2915,0.2547,0.265466667,0.0776,0.0755,0.0763,0.076466667
8.5,0.3155,0.3021,0.3332,0.316933333,0.3079,0.3008,0.3092,0.305966667,0.3192,0.2931,0.3534,0.3219,0.1568,0.1821,0.1708,0.1699,0.2673,0.3111,0.2713,0.283233333,0.0775,0.0754,0.0759,0.076266667
8.75,0.3381,0.3235,0.3576,0.339733333,0.3303,0.3229,0.332,0.3284,0.34,0.3139,0.3761,0.343333333,0.1647,0.1928,0.1804,0.1793,0.2843,0.3309,0.2889,0.301366667,0.0773,0.0754,0.0758,0.076166667
9,0.3621,0.3476,0.3826,0.3641,0.3548,0.3475,0.3567,0.353,0.3618,0.337,0.4,0.366266667,0.175,0.2054,0.1911,0.1905,0.3009,0.3537,0.3084,0.321,0.0775,0.0756,0.0762,0.076433333
9.25,0.3851,0.371,0.4082,0.3881,0.377,0.3715,0.3803,0.376266667,0.3831,0.3585,0.4225,0.388033333,0.1842,0.2185,0.2017,0.201466667,0.3214,0.3748,0.3286,0.3416,0.0774,0.0753,0.0759,0.0762
9.5,0.4097,0.3947,0.4327,0.412366667,0.4,0.3959,0.4062,0.4007,0.4056,0.381,0.4471,0.411233333,0.1949,0.2325,0.2144,0.213933333,0.3418,0.3975,0.3517,0.363666667,0.0775,0.0755,0.0761,0.076366667
9.75,0.4354,0.4201,0.4596,0.438366667,0.4244,0.4211,0.4308,0.425433333,0.4279,0.4041,0.4703,0.4341,0.2063,0.2482,0.2277,0.2274,0.3623,0.4227,0.374,0.386333333,0.0774,0.0755,0.0759,0.076266667
10,0.4605,0.4451,0.4856,0.463733333,0.4481,0.4462,0.4553,0.449866667,0.4508,0.4278,0.4965,0.458366667,0.2189,0.2648,0.2421,0.241933333,0.3848,0.4478,0.3969,0.409833333,0.0775,0.0756,0.0762,0.076433333
10.25,0.4857,0.4698,0.5116,0.489033333,0.4722,0.4706,0.4794,0.474066667,0.4737,0.4514,0.52,0.4817,0.2315,0.2817,0.2569,0.2567,0.4063,0.4719,0.4201,0.432766667,0.0774,0.0755,0.0761,0.076333333
10.5,0.5105,0.4954,0.5366,0.514166667,0.4966,0.4952,0.5044,0.498733333,0.4967,0.4749,0.5438,0.505133333,0.2454,0.3002,0.2732,0.272933333,0.4275,0.4971,0.4455,0.4567,0.0774,0.0756,0.076,0.076333333
10.75,0.5358,0.5209,0.5635,0.540066667,0.5196,0.52,0.5285,0.5227,0.5188,0.4993,0.5668,0.5283,0.2605,0.3197,0.29,0.290066667,0.4518,0.5219,0.4704,0.481366667,0.0774,0.0755,0.0758,0.076233333
11,0.5617,0.546,0.5884,0.565366667,0.5445,0.5449,0.5547,0.548033333,0.5416,0.5227,0.5929,0.5524,0.2773,0.3399,0.308,0.3084,0.4737,0.5457,0.4951,0.504833333,0.0773,0.0755,0.0759,0.076233333
11.25,0.5872,0.5717,0.6147,0.5912,0.5681,0.5695,0.5791,0.572233333,0.5634,0.5468,0.6151,0.5751,0.2941,0.3611,0.3272,0.327466667,0.496,0.5714,0.5199,0.5291,0.0774,0.0755,0.0759,0.076266667
11.5,0.6124,0.5963,0.641,0.616566667,0.5925,0.5939,0.604,0.5968,0.587,0.5711,0.6389,0.599,0.313,0.3793,0.3474,0.346566667,0.5177,0.5957,0.5446,0.552666667,0.0773,0.0754,0.0758,0.076166667
11.75,0.6379,0.6218,0.6667,0.642133333,0.6172,0.6185,0.6297,0.6218,0.6095,0.595,0.6637,0.622733333,0.332,0.3989,0.3698,0.3669,0.5395,0.6208,0.5721,0.577466667,0.0772,0.0756,0.0758,0.0762
12,0.6627,0.6467,0.6914,0.666933333,0.6408,0.644,0.6545,0.646433333,0.6317,0.6194,0.6862,0.645766667,0.3487,0.417,0.3904,0.385366667,0.5633,0.6457,0.5964,0.6018,0.0771,0.0755,0.0759,0.076166667
12.25,0.6883,0.6724,0.7177,0.6928,0.666,0.6681,0.6798,0.6713,0.6544,0.643,0.711,0.669466667,0.3664,0.4351,0.4114,0.4043,0.5834,0.67,0.6221,0.625166667,0.0773,0.0757,0.0759,0.0763
12.5,0.7123,0.6961,0.7419,0.716766667,0.6905,0.6926,0.7044,0.695833333,0.6773,0.6661,0.733,0.692133333,0.3829,0.4534,0.4318,0.4227,0.6074,0.6939,0.6468,0.649366667,0.0773,0.0755,0.076,0.076266667
12.75,0.7372,0.7215,0.7675,0.742066667,0.7145,0.7157,0.7307,0.7203,0.6975,0.6909,0.7585,0.715633333,0.3992,0.4709,0.4509,0.440333333,0.6292,0.7171,0.6713,0.672533333,0.0773,0.0755,0.0758,0.0762
13,0.7594,0.7449,0.7907,0.765,0.7377,0.7397,0.7552,0.7442,0.7154,0.7141,0.7793,0.736266667,0.4155,0.4878,0.4693,0.457533333,0.6514,0.7408,0.696,0.696066667,0.0774,0.0756,0.076,0.076333333
13.25,0.7793,0.7678,0.813,0.7867,0.761,0.7643,0.7812,0.768833333,0.734,0.7355,0.7996,0.756366667,0.4325,0.5053,0.4873,0.475033333,0.6708,0.7642,0.7209,0.718633333,0.0772,0.0755,0.0758,0.076166667
13.5,0.7995,0.7879,0.8325,0.806633333,0.7835,0.788,0.8045,0.792,0.7524,0.7567,0.8184,0.775833333,0.4492,0.522,0.5054,0.4922,0.6908,0.7881,0.7446,0.741166667,0.0772,0.0755,0.0759,0.0762
13.75,0.818,0.8083,0.8518,0.826033333,0.805,0.8115,0.8285,0.815,0.7709,0.7757,0.8392,0.795266667,0.4663,0.5399,0.5233,0.509833333,0.7101,0.8104,0.7701,0.763533333,0.0772,0.0755,0.076,0.076233333
14,0.8368,0.8267,0.8717,0.845066667,0.8262,0.8319,0.8519,0.836666667,0.7886,0.7945,0.8582,0.813766667,0.4829,0.558,0.5411,0.527333333,0.7311,0.8316,0.7948,0.785833333,0.077,0.0754,0.0757,0.076033333
14.25,0.8565,0.8472,0.8915,0.865066667,0.8475,0.8541,0.8732,0.858266667,0.8066,0.815,0.8774,0.833,0.5022,0.5767,0.5588,0.5459,0.749,0.8521,0.8183,0.806466667,0.0769,0.0753,0.0758,0.076
14.5,0.8765,0.8662,0.9109,0.884533333,0.8676,0.8747,0.8951,0.879133333,0.8243,0.8337,0.8961,0.851366667,0.5186,0.596,0.576,0.563533333,0.7716,0.8715,0.84,0.8277,0.0769,0.0754,0.0757,0.076
14.75,0.8952,0.8852,0.9304,0.9036,0.8872,0.8962,0.915,0.899466667,0.8425,0.8528,0.9143,0.869866667,0.5365,0.6147,0.5944,0.581866667,0.7929,0.8907,0.8608,0.848133333,0.0769,0.0754,0.0759,0.076066667
15,0.9138,0.9043,0.9501,0.922733333,0.9055,0.9146,0.9343,0.918133333,0.8595,0.8714,0.9319,0.8876,0.554,0.6368,0.6123,0.601033333,0.8114,0.9079,0.8809,0.866733333,0.0769,0.0754,0.076,0.0761
15.25,0.9312,0.9227,0.9678,0.940566667,0.9221,0.9339,0.9512,0.935733333,0.8756,0.889,0.9473,0.903966667,0.5695,0.6568,0.6291,0.618466667,0.8303,0.9245,0.8962,0.883666667,0.0774,0.0757,0.076,0.076366667
15.5,0.9485,0.94,0.9853,0.957933333,0.9396,0.9529,0.9697,0.954066667,0.892,0.9076,0.9634,0.921,0.587,0.6769,0.6472,0.637033333,0.8464,0.9415,0.9138,0.900566667,0.0775,0.0757,0.076,0.0764
15.75,0.965,0.9576,1.0008,0.974466667,0.955,0.9706,0.9861,0.970566667,0.9072,0.9245,0.978,0.936566667,0.6028,0.695,0.6649,0.654233333,0.8629,0.9576,0.9291,0.916533333,0.0776,0.0757,0.076,0.076433333
16,0.9807,0.973,1.0171,0.990266667,0.972,0.9882,1.0021,0.987433333,0.9228,0.9418,0.9932,0.9526,0.6206,0.7143,0.6832,0.6727,0.8776,0.974,0.9442,0.931933333,0.0775,0.0757,0.0761,0.076433333
16.25,0.9961,0.9894,1.0324,1.005966667,0.9872,1.0052,1.0176,1.003333333,0.9371,0.9579,1.008,0.967666667,0.6392,0.7356,0.7012,0.692,0.8924,0.9893,0.962,0.9479,0.0776,0.0757,0.0761,0.076466667
16.5,1.0103,1.004,1.0466,1.0203,1.0012,1.0206,1.0332,1.018333333,0.9502,0.9722,1.0231,0.981833333,0.6566,0.7524,0.7195,0.7095,0.9063,1.0046,0.9773,0.962733333,0.0776,0.0756,0.0762,0.076466667
